caseid,feelings_life,place_birth_canada,citizenship_status,aboriginal,vis_minority,marital_status,education,self_rated_health,self_rated_mental_health,income_family,income_respondent,number_total_children_intention,is_male
5717,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Good,3,"$25,000 to $49,999","Less than $25,000",NA,0
5718,4,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Poor,2,"Less than $25,000","Less than $25,000",0,0
5719,7,Born in Canada,By birth,Yes,Not a visible minority,Living common-law,3,Excellent,5,"$125,000 and more","$50,000 to $74,999",2,1
5720,6,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Fair,5,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5721,8,Born in Canada,By birth,No,Not a visible minority,Widowed,4,Very good,4,"$125,000 and more","$125,000 and more",NA,0
5722,10,Born outside Canada,By naturalization,NA,Visible minority,Married,6,Very good,4,"$25,000 to $49,999","Less than $25,000",NA,0
5723,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Poor,2,"Less than $25,000","Less than $25,000",0,1
5724,7,Born outside Canada,By naturalization,NA,Don't know,Married,1,Poor,3,"$25,000 to $49,999","Less than $25,000",NA,0
5725,10,Born outside Canada,NA,No,Not a visible minority,Married,3,Very good,4,"$125,000 and more","$25,000 to $49,999",NA,1
5726,3,Born in Canada,By birth,No,Not a visible minority,Divorced,1,Fair,3,"$50,000 to $74,999","$25,000 to $49,999",NA,1
5727,5,Born outside Canada,NA,NA,Visible minority,Married,3,Good,4,"$100,000 to $ 124,999","$25,000 to $49,999",0,0
5728,8,Born outside Canada,By naturalization,NA,Don't know,Divorced,1,Poor,3,"Less than $25,000","Less than $25,000",NA,0
5729,5,Born in Canada,By birth,No,Not a visible minority,Separated,2,Fair,1,"Less than $25,000","Less than $25,000",NA,0
5730,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Very good,5,"Less than $25,000","Less than $25,000",0,0
5731,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,1,"Less than $25,000","Less than $25,000",0,1
5732,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Poor,3,"Less than $25,000","Less than $25,000",NA,1
5733,9,Born outside Canada,By naturalization,NA,Visible minority,Married,3,Excellent,5,"$75,000 to $99,999","$25,000 to $49,999",2,1
5734,9,Born in Canada,By birth,No,Visible minority,Married,3,Very good,4,"$100,000 to $ 124,999","$25,000 to $49,999",0,0
5735,4,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Good,1,"$100,000 to $ 124,999","$100,000 to $ 124,999",NA,1
5736,6,Born outside Canada,By naturalization,NA,Visible minority,Married,7,Excellent,4,"$125,000 and more","$100,000 to $ 124,999",NA,1
5737,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Good,4,"Less than $25,000","Less than $25,000",NA,1
5738,4,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Good,3,"Less than $25,000","Less than $25,000",NA,1
5739,8,Born in Canada,By birth,No,Visible minority,Married,7,Good,4,"$125,000 and more","$125,000 and more",NA,0
5740,9,Born outside Canada,By naturalization,No,Not a visible minority,Married,2,Fair,1,"$25,000 to $49,999","Less than $25,000",NA,0
5741,8,Born in Canada,By birth,No,Not a visible minority,Widowed,3,Poor,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5742,8,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,3,"$75,000 to $99,999","$50,000 to $74,999",0,1
5743,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",2,0
5744,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,1,"$125,000 and more","Less than $25,000",0,0
5745,8,Born outside Canada,By naturalization,NA,Don't know,Married,2,Good,3,"$50,000 to $74,999","Less than $25,000",NA,1
5746,10,Born in Canada,By birth,Yes,Not a visible minority,Living common-law,2,Fair,3,"$75,000 to $99,999","$25,000 to $49,999",0,1
5747,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,5,"$125,000 and more","$125,000 and more",NA,1
5748,9,Born outside Canada,By naturalization,NA,Visible minority,Married,3,Good,4,"$100,000 to $ 124,999","$25,000 to $49,999",0,1
5749,7,Born in Canada,By birth,Yes,Not a visible minority,"Single, never married",1,Good,1,"Less than $25,000","Less than $25,000",3,0
5750,5,Born in Canada,By birth,No,Not a visible minority,Separated,2,Good,1,"Less than $25,000","Less than $25,000",NA,0
5751,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Good,3,"$50,000 to $74,999","$25,000 to $49,999",0,0
5752,9,Born outside Canada,By naturalization,NA,Visible minority,Married,1,Poor,3,"$25,000 to $49,999","Less than $25,000",NA,0
5753,7,Born outside Canada,By naturalization,No,Not a visible minority,Married,1,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",NA,0
5754,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$75,000 to $99,999","$50,000 to $74,999",2,1
5755,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Fair,4,"$125,000 and more","Less than $25,000",NA,0
5756,NA,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Fair,1,"Less than $25,000","Less than $25,000",NA,1
5757,10,Don't know,Don't know,NA,Not a visible minority,Married,5,Good,4,"$125,000 and more","$50,000 to $74,999",0,0
5758,8,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5759,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Excellent,5,"$25,000 to $49,999","$25,000 to $49,999",NA,1
5760,5,Born in Canada,By birth,No,Not a visible minority,Married,2,Poor,1,"$125,000 and more","Less than $25,000",NA,0
5761,9,Born outside Canada,By naturalization,NA,Visible minority,Living common-law,3,Very good,4,"$125,000 and more","$50,000 to $74,999",0,0
5762,7,Born outside Canada,By naturalization,No,Not a visible minority,Married,7,Very good,4,"$125,000 and more","$50,000 to $74,999",0,1
5763,8,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Very good,5,"$50,000 to $74,999","$50,000 to $74,999",NA,1
5764,5,Born in Canada,By birth,No,Visible minority,"Single, never married",1,Good,4,"$25,000 to $49,999","$25,000 to $49,999",0,1
5765,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$125,000 and more","$125,000 and more",0,1
5766,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Fair,3,"$50,000 to $74,999","Less than $25,000",NA,0
5767,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,7,Excellent,3,"$125,000 and more","$75,000 to $99,999",2,1
5768,5,Born in Canada,By birth,Yes,Not a visible minority,Separated,1,Good,5,"Less than $25,000","Less than $25,000",NA,0
5769,6,Born outside Canada,NA,NA,Visible minority,Living common-law,6,Very good,4,"$75,000 to $99,999","$25,000 to $49,999",0,0
5770,9,Born in Canada,By birth,No,Not a visible minority,Married,5,Very good,4,"$75,000 to $99,999","$50,000 to $74,999",NA,0
5771,8,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,3,"$125,000 and more","$50,000 to $74,999",NA,1
5772,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,3,"$100,000 to $ 124,999","$25,000 to $49,999",2,1
5773,3,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Fair,2,"Less than $25,000","Less than $25,000",0,0
5774,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,3,"$100,000 to $ 124,999","$25,000 to $49,999",0,0
5775,10,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,4,"Less than $25,000","Less than $25,000",NA,0
5776,7,Born in Canada,By birth,No,Not a visible minority,Separated,2,Good,5,"Less than $25,000","Less than $25,000",NA,1
5777,10,Born outside Canada,By naturalization,NA,Not a visible minority,Married,3,Very good,5,"$125,000 and more","$125,000 and more",NA,1
5778,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Very good,4,"$25,000 to $49,999","Less than $25,000",2,1
5779,7,Born outside Canada,By naturalization,NA,Visible minority,Married,6,Good,5,"$125,000 and more","$125,000 and more",0,1
5780,7,Born outside Canada,By naturalization,NA,Visible minority,Married,2,Good,3,"$125,000 and more","$25,000 to $49,999",NA,0
5781,9,Born in Canada,By birth,No,Not a visible minority,Married,1,Excellent,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
5782,8,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Good,3,"Less than $25,000","Less than $25,000",NA,0
5783,10,Born in Canada,By birth,No,Visible minority,"Single, never married",1,Good,5,"Less than $25,000","Less than $25,000",NA,1
5784,10,Born outside Canada,NA,NA,Visible minority,Married,1,Good,3,"$25,000 to $49,999","$25,000 to $49,999",2,0
5785,8,Don't know,Don't know,NA,Not a visible minority,Living common-law,2,Good,3,"$50,000 to $74,999","Less than $25,000",0,0
5786,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Good,2,"$25,000 to $49,999","$25,000 to $49,999",0,0
5787,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,5,"$125,000 and more","$50,000 to $74,999",0,0
5788,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$125,000 and more","$50,000 to $74,999",0,0
5789,10,Born outside Canada,NA,NA,Visible minority,"Single, never married",7,Excellent,5,"$100,000 to $ 124,999","$100,000 to $ 124,999",2,1
5790,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Very good,4,"$25,000 to $49,999","Less than $25,000",NA,1
5791,10,Don't know,By birth,No,Not a visible minority,Living common-law,2,Good,3,"$50,000 to $74,999","$50,000 to $74,999",0,1
5792,5,Born in Canada,By birth,No,Not a visible minority,Widowed,3,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5793,6,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Good,3,"$75,000 to $99,999","$25,000 to $49,999",2,1
5794,8,Born in Canada,By birth,No,Not a visible minority,Separated,4,Good,4,"Less than $25,000","Less than $25,000",NA,0
5795,6,Born outside Canada,NA,NA,Visible minority,Married,7,Good,4,"$125,000 and more","$75,000 to $99,999",0,1
5796,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,5,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
5797,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$125,000 and more","$100,000 to $ 124,999",0,1
5798,9,Born in Canada,By birth,No,Not a visible minority,Divorced,6,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5799,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Excellent,5,"Less than $25,000","Less than $25,000",NA,1
5800,NA,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
5801,9,Born in Canada,By birth,No,Not a visible minority,Married,1,Fair,1,"$25,000 to $49,999","Less than $25,000",NA,1
5802,6,Born in Canada,By birth,No,Visible minority,"Single, never married",2,Very good,1,"$125,000 and more","Less than $25,000",2,0
5803,7,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",3,Very good,5,"$50,000 to $74,999","$50,000 to $74,999",2,1
5804,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Good,4,"$75,000 to $99,999","$50,000 to $74,999",NA,1
5805,8,Born outside Canada,By naturalization,NA,Visible minority,Married,1,Good,4,"$75,000 to $99,999","$25,000 to $49,999",0,1
5806,8,Born outside Canada,NA,NA,Visible minority,"Single, never married",7,Very good,4,"Less than $25,000","Less than $25,000",0,1
5807,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$125,000 and more","$50,000 to $74,999",0,0
5808,10,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Fair,1,"Less than $25,000","Less than $25,000",NA,0
5809,8,Born in Canada,By birth,No,Not a visible minority,Divorced,1,Good,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5810,5,Born in Canada,By birth,No,Not a visible minority,Married,4,Excellent,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5811,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",7,Very good,3,"$75,000 to $99,999","$75,000 to $99,999",NA,1
5812,8,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,5,"$25,000 to $49,999","Less than $25,000",NA,0
5813,10,Born in Canada,By birth,No,Visible minority,"Single, never married",6,Excellent,4,"$50,000 to $74,999","Less than $25,000",0,0
5814,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Poor,3,"Less than $25,000","Less than $25,000",NA,0
5815,NA,NA,NA,NA,NA,"Single, never married",NA,NA,NA,"$100,000 to $ 124,999","Less than $25,000",2,1
5816,10,Born in Canada,By birth,Yes,Not a visible minority,Married,2,Fair,4,"$100,000 to $ 124,999","$25,000 to $49,999",NA,0
5817,8,Born outside Canada,By naturalization,NA,Not a visible minority,Married,2,Good,3,"$50,000 to $74,999","$25,000 to $49,999",NA,1
5818,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Very good,3,"$50,000 to $74,999","$25,000 to $49,999",2,1
5819,10,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,3,"$125,000 and more","$50,000 to $74,999",0,1
5820,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Good,3,"$125,000 and more","Less than $25,000",0,0
5821,6,Born outside Canada,By naturalization,NA,Visible minority,Divorced,NA,Poor,3,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5822,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Fair,3,"$50,000 to $74,999","Less than $25,000",0,0
5823,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",0,1
5824,9,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5825,7,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",5,Good,3,"$50,000 to $74,999","$50,000 to $74,999",NA,1
5826,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Very good,4,"$50,000 to $74,999","Less than $25,000",2,0
5827,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$125,000 and more","$125,000 and more",NA,0
5828,2,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Good,2,"$75,000 to $99,999","$75,000 to $99,999",NA,1
5829,9,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,5,"$100,000 to $ 124,999","$75,000 to $99,999",NA,1
5830,9,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,4,"$125,000 and more","$25,000 to $49,999",NA,0
5831,10,Born in Canada,By birth,No,Not a visible minority,Married,2,Fair,1,"$50,000 to $74,999","Less than $25,000",NA,0
5832,10,Born outside Canada,NA,NA,Visible minority,Married,6,Very good,5,"$25,000 to $49,999","Less than $25,000",3,0
5833,9,Born in Canada,By birth,No,Not a visible minority,Separated,2,Very good,4,"$75,000 to $99,999","$50,000 to $74,999",NA,1
5834,8,Born in Canada,By birth,No,Not a visible minority,Separated,1,Very good,4,"Less than $25,000","Less than $25,000",NA,0
5835,10,Born in Canada,By birth,No,Not a visible minority,Married,1,Excellent,5,"$100,000 to $ 124,999","$25,000 to $49,999",NA,0
5836,6,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",6,Very good,3,"$125,000 and more","$25,000 to $49,999",0,0
5837,8,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,4,"$125,000 and more","$75,000 to $99,999",0,1
5838,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Good,3,"$25,000 to $49,999","$25,000 to $49,999",0,0
5839,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Excellent,5,"$125,000 and more","$75,000 to $99,999",2,1
5840,8,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,4,"$125,000 and more","Less than $25,000",NA,0
5841,5,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,3,"$50,000 to $74,999","$50,000 to $74,999",0,1
5842,8,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Good,1,"Less than $25,000","Less than $25,000",NA,0
5843,8,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Excellent,5,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5844,7,Born outside Canada,By naturalization,NA,Visible minority,Married,2,Good,3,"$25,000 to $49,999","Less than $25,000",0,1
5845,5,Born in Canada,By birth,No,Not a visible minority,Married,7,Poor,1,"$125,000 and more","$25,000 to $49,999",0,0
5846,10,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Fair,5,"Less than $25,000","Less than $25,000",NA,0
5847,9,Born in Canada,By birth,No,Not a visible minority,Widowed,2,Fair,5,"Less than $25,000","Less than $25,000",NA,0
5848,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Good,1,"$125,000 and more","$125,000 and more",NA,1
5849,10,Born in Canada,By birth,No,Don't know,Married,1,Very good,5,"$100,000 to $ 124,999","$50,000 to $74,999",0,1
5850,7,Born in Canada,By birth,No,Not a visible minority,Separated,3,Good,3,"Less than $25,000","Less than $25,000",0,0
5851,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Very good,3,"Less than $25,000","Less than $25,000",NA,1
5852,8,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Poor,4,"Less than $25,000","Less than $25,000",0,0
5853,10,Born in Canada,By birth,Yes,Not a visible minority,Living common-law,1,Excellent,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5854,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Good,5,"Less than $25,000","Less than $25,000",2,0
5855,8,Born outside Canada,By naturalization,NA,Visible minority,Divorced,3,Very good,4,"Less than $25,000","Less than $25,000",NA,1
5856,7,Born outside Canada,By birth,No,Not a visible minority,Married,2,Good,3,"$125,000 and more","$50,000 to $74,999",NA,1
5857,9,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",6,Very good,5,"$125,000 and more","$50,000 to $74,999",3,1
5858,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Fair,3,"$25,000 to $49,999","Less than $25,000",NA,0
5859,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Fair,4,"$75,000 to $99,999","$25,000 to $49,999",0,0
5860,9,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Very good,4,"$125,000 and more","Less than $25,000",2,1
5861,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Excellent,4,"$50,000 to $74,999","$25,000 to $49,999",0,0
5862,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,1
5863,8,Born in Canada,By birth,No,Not a visible minority,Married,1,Good,4,"$50,000 to $74,999","Less than $25,000",NA,0
5864,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Excellent,5,"$125,000 and more","Less than $25,000",0,0
5865,9,Born in Canada,By birth,No,Not a visible minority,Married,6,Very good,3,"$50,000 to $74,999","$25,000 to $49,999",1,0
5866,8,Born outside Canada,By naturalization,No,Not a visible minority,Divorced,3,Very good,4,"$125,000 and more","$125,000 and more",NA,0
5867,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Very good,4,"$50,000 to $74,999","$25,000 to $49,999",0,0
5868,10,Born outside Canada,By naturalization,No,Not a visible minority,Married,3,Excellent,5,"$25,000 to $49,999","Less than $25,000",NA,1
5869,7,Born outside Canada,By naturalization,NA,Not a visible minority,Married,3,Good,3,"$125,000 and more","$25,000 to $49,999",NA,0
5870,7,Born in Canada,By birth,No,Not a visible minority,Widowed,6,Fair,3,"$25,000 to $49,999","$25,000 to $49,999",NA,1
5871,10,Born in Canada,By birth,Yes,Not a visible minority,Married,7,Excellent,4,"$125,000 and more","$100,000 to $ 124,999",2,0
5872,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",6,Very good,3,"$125,000 and more","$25,000 to $49,999",1,0
5873,9,Born in Canada,By birth,No,Not a visible minority,Married,7,Very good,5,"$100,000 to $ 124,999","$50,000 to $74,999",NA,1
5874,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Fair,4,"$125,000 and more","$125,000 and more",NA,1
5875,10,Born in Canada,By birth,No,Not a visible minority,Living common-law,2,Very good,4,"$75,000 to $99,999","$50,000 to $74,999",1,1
5876,9,Born in Canada,By birth,No,Not a visible minority,Married,1,Fair,3,"$50,000 to $74,999","Less than $25,000",NA,0
5877,9,Born in Canada,By birth,No,Not a visible minority,Divorced,7,Excellent,5,"$125,000 and more","$125,000 and more",0,0
5878,8,Born in Canada,By birth,No,Visible minority,"Single, never married",1,Very good,4,"$75,000 to $99,999","Less than $25,000",3,1
5879,8,Born outside Canada,By naturalization,NA,Visible minority,Separated,1,Very good,3,"Less than $25,000","Less than $25,000",NA,0
5880,8,Born outside Canada,By naturalization,NA,Not a visible minority,Married,6,Excellent,5,"$50,000 to $74,999","$25,000 to $49,999",NA,1
5881,8,Born in Canada,By birth,No,Not a visible minority,Married,1,Good,5,"Less than $25,000","Less than $25,000",NA,1
5882,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Good,4,"$125,000 and more","$100,000 to $ 124,999",0,1
5883,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$50,000 to $74,999","Less than $25,000",0,0
5884,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Good,3,"Less than $25,000","Less than $25,000",NA,0
5885,10,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Fair,4,"Less than $25,000","Less than $25,000",0,0
5886,7,Born in Canada,By birth,No,Not a visible minority,Married,4,Good,4,"$125,000 and more","$100,000 to $ 124,999",0,1
5887,10,Born in Canada,By birth,No,Not a visible minority,Widowed,4,Very good,4,"Less than $25,000","Less than $25,000",NA,0
5888,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,6,Very good,4,"$125,000 and more","$75,000 to $99,999",0,0
5889,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5890,4,Born outside Canada,By naturalization,NA,Not a visible minority,Widowed,2,Good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,1
5891,10,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$50,000 to $74,999","$25,000 to $49,999",NA,0
5892,8,Born in Canada,By birth,No,Not a visible minority,Married,4,Very good,4,"$125,000 and more","$50,000 to $74,999",NA,1
5893,9,Born in Canada,By birth,No,Not a visible minority,Married,3,Excellent,3,"$100,000 to $ 124,999","$50,000 to $74,999",0,1
5894,8,Born in Canada,By birth,Yes,Not a visible minority,Divorced,2,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",0,0
5895,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Good,3,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5896,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,3,"$25,000 to $49,999","$25,000 to $49,999",NA,0
5897,5,Born outside Canada,By naturalization,NA,Visible minority,Married,2,Poor,2,"$125,000 and more","$25,000 to $49,999",NA,0
5898,8,Born outside Canada,By naturalization,NA,Visible minority,Married,7,Good,3,"$100,000 to $ 124,999","$50,000 to $74,999",NA,1
5899,8,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",0,0
5900,8,Born in Canada,By birth,No,Not a visible minority,Divorced,1,Poor,3,"Less than $25,000","Less than $25,000",NA,0
5901,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$75,000 to $99,999","$25,000 to $49,999",0,0
5902,9,Born outside Canada,By naturalization,NA,Visible minority,Married,2,Good,4,"$100,000 to $ 124,999","$25,000 to $49,999",3,0
5903,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,4,Very good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
5904,6,Born in Canada,By birth,No,Not a visible minority,"Single, never married",4,Fair,1,"Less than $25,000","Less than $25,000",NA,1
5905,9,Born in Canada,By birth,No,Not a visible minority,Divorced,2,Very good,5,"$25,000 to $49,999","$25,000 to $49,999",NA,1
5906,9,Born outside Canada,NA,NA,Not a visible minority,Married,7,Good,4,"$25,000 to $49,999","$25,000 to $49,999",NA,1
5907,8,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Excellent,5,"$125,000 and more","$125,000 and more",0,1
5908,8,Born in Canada,By birth,No,Not a visible minority,Married,3,Fair,3,"$125,000 and more","$25,000 to $49,999",NA,0
5909,10,Born in Canada,By birth,Yes,Not a visible minority,Married,1,Good,5,"$50,000 to $74,999","Less than $25,000",NA,0
5910,5,Born in Canada,By birth,No,Not a visible minority,"Single, never married",1,Fair,5,"Less than $25,000","Less than $25,000",NA,0
5911,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Excellent,5,"Less than $25,000","Less than $25,000",2,1
5912,9,Born outside Canada,By naturalization,NA,Visible minority,Married,7,Good,4,"$125,000 and more","$125,000 and more",NA,0
5913,6,Born outside Canada,By naturalization,NA,Visible minority,Married,NA,Good,3,"$100,000 to $ 124,999","$50,000 to $74,999",0,1
5914,9,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Excellent,5,"$75,000 to $99,999","$50,000 to $74,999",NA,0
5915,5,Born in Canada,By birth,Yes,Not a visible minority,Married,2,Fair,1,"$25,000 to $49,999","Less than $25,000",0,1
5916,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Excellent,4,"Less than $25,000","Less than $25,000",0,0
5917,8,Born in Canada,By birth,No,Not a visible minority,Widowed,1,Very good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5918,8,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Very good,4,"$100,000 to $ 124,999","$100,000 to $ 124,999",NA,0
5919,10,Born in Canada,By birth,No,Not a visible minority,Divorced,1,Very good,1,"Less than $25,000","Less than $25,000",NA,0
5920,5,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",6,Good,4,"$50,000 to $74,999","$50,000 to $74,999",NA,0
5921,7,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Good,3,"$125,000 and more","Less than $25,000",0,0
5922,10,Born in Canada,By birth,No,Not a visible minority,Married,3,Very good,4,"$125,000 and more","$75,000 to $99,999",NA,0
5923,8,Born outside Canada,NA,NA,Visible minority,"Single, never married",1,Very good,4,"$125,000 and more","Less than $25,000",2,1
5924,8,Born in Canada,By birth,No,Visible minority,"Single, never married",7,Good,4,"$125,000 and more","$50,000 to $74,999",2,0
5925,9,Born in Canada,By birth,No,Not a visible minority,Married,2,Very good,4,"$125,000 and more","$25,000 to $49,999",NA,0
5926,7,Born in Canada,By birth,No,Not a visible minority,Married,6,Excellent,5,"$50,000 to $74,999","$25,000 to $49,999",NA,0
5927,10,Born in Canada,By birth,No,Not a visible minority,Divorced,3,Good,5,"$50,000 to $74,999","$25,000 to $49,999",NA,0
5928,9,Born in Canada,By birth,No,Not a visible minority,Separated,6,Excellent,4,"$75,000 to $99,999","$75,000 to $99,999",2,1
5929,10,Born in Canada,By birth,No,Not a visible minority,"Single, never married",2,Excellent,5,"$75,000 to $99,999","$75,000 to $99,999",2,1
5930,7,Born in Canada,By birth,No,Not a visible minority,Living common-law,3,Very good,1,"Less than $25,000","Less than $25,000",2,0
5931,9,Born outside Canada,By naturalization,NA,Visible minority,"Single, never married",3,Very good,3,"$100,000 to $ 124,999","$50,000 to $74,999",NA,0
5932,6,Born in Canada,By birth,No,Not a visible minority,Married,2,Poor,4,"Less than $25,000","Less than $25,000",NA,0
5933,3,Born in Canada,By birth,No,Not a visible minority,"Single, never married",3,Very good,1,"$75,000 to $99,999","$75,000 to $99,999",NA,0
